"sample","name","cpu_ms"
10,"queued-work-loo",1.582166
10,"hwuiTask0",1.567459
10,"ncFunctionQueue",1.000708
10,"hwuiTask1",0.998248
10,"GPU completion",0.850208
10,"CookieMonsterCl",0.674916
10,"OkHttp TaskRunn",0.639333
10,"ScionFrontendAp",0.591250
10,"binder:28205_2",0.517456
10,"Firebase Blocki",0.455125
10,"binder:28205_1",0.209834
10,"HWC release",0.099083
11,"RenderThread",425.470253
11,"mqt_v_js",324.409298
11,"oelseisfree.app",140.364921
11,"HeapTaskDaemon",58.046125
11,"Measurement Wor",21.518871
11,".0.2.2:8093/...",20.832830
11,"Jit thread pool",10.919125
11,"HybridData Dest",10.419625
11,"ReferenceQueueD",9.050000
11,"mqt_v_native",9.019082
11,"Firebase Backgr",7.255042
11,"hwuiTask1",3.586374
11,"DefaultDispatch",2.362542
11,"binder:28205_5",1.844167
11,"binder:28205_2",1.780209
11,"hwuiTask0",1.199375
11,"queued-work-loo",1.016957
11,"GPU completion",0.979079
11,"ScionFrontendAp",0.771708
11,"OkHttp TaskRunn",0.750499
11,"HWC release",0.560791
11,"CookieMonsterCl",0.471251
11,"FinalizerDaemon",0.297875
11,"Firebase Blocki",0.285458
11,"binder:28205_1",0.237957
11,"binder:28205_4",0.108792
11,"FinalizerWatchd",0.061542
11,"Expo JNI deallo",0.059083
12,"RenderThread",547.534334
12,"mqt_v_js",260.746700
12,"oelseisfree.app",211.984093
12,"Jit thread pool",11.583541
12,".0.2.2:8093/...",11.242790
12,"glide-disk-cach",9.220708
12,"Measurement Wor",7.141918
12,"mqt_v_native",3.664251
12,"Firebase Backgr",1.835415
12,"binder:28205_2",1.568959
12,"DefaultDispatch",1.331416
12,"ncFunctionQueue",1.242501
12,"queued-work-loo",1.071001
12,"hwuiTask1",1.009084
12,"hwuiTask0",0.919166
12,"OkHttp TaskRunn",0.707249
12,"GPU completion",0.621377
12,"CookieMonsterCl",0.421251
12,"ScionFrontendAp",0.305833
12,"binder:28205_5",0.265166
12,"Firebase Blocki",0.221126
12,"binder:28205_4",0.161793
12,"binder:28205_1",0.133248
12,"FinalizerWatchd",0.036833
13,"RenderThread",546.761667
13,"mqt_v_js",190.901548
13,"oelseisfree.app",120.782699
13,".0.2.2:8093/...",26.626959
13,"Profile Saver",17.904001
13,"Measurement Wor",5.281333
13,"queued-work-loo",4.904500
13,"mqt_v_native",3.726413
13,"Jit thread pool",3.286791
13,"binder:28205_2",2.855839
13,"Firebase Backgr",1.468500
13,"DefaultDispatch",1.278375
13,"GPU completion",1.022784
13,"HeapTaskDaemon",0.637000
13,"hwuiTask0",0.634499
13,"OkHttp TaskRunn",0.599499
13,"HWC release",0.540460
13,"CookieMonsterCl",0.504500
13,"hwuiTask1",0.352417
13,"binder:28205_1",0.268167
13,"binder:28205_3",0.250209
13,"ScionFrontendAp",0.205958
13,"binder:28205_5",0.188541
13,"Firebase Blocki",0.117292
13,"binder:28205_4",0.001250
14,"RenderThread",701.343249
14,"mqt_v_js",218.083218
14,"oelseisfree.app",171.002298
14,"hades",86.944456
14,"HeapTaskDaemon",52.466582
14,".0.2.2:8093/...",13.649749
14,"Jit thread pool",12.564749
14,"HybridData Dest",11.443872
14,"glide-disk-cach",11.089668
14,"ReferenceQueueD",6.247583
14,"Measurement Wor",5.166041
14,"mqt_v_native",5.018626
14,"GPU completion",3.900918
14,"binder:28205_4",1.950877
