"sample","name","cpu_ms"
12,"Measurement Wor",10.640292
12,"queued-work-loo",5.415542
12,"mqt_v_native",4.102168
12,"binder:24460_1",3.798584
12,"Firebase Backgr",3.016708
12,"DefaultDispatch",1.643917
12,"ncFunctionQueue",1.198625
12,"OkHttp TaskRunn",1.112751
12,"ScionFrontendAp",1.099458
12,"GPU completion",0.954374
12,"hwuiTask0",0.799751
12,"binder:24460_5",0.793333
12,"hwuiTask1",0.732958
12,"CookieMonsterCl",0.632999
12,"HWC release",0.397168
12,"Firebase Blocki",0.270250
12,"binder:24460_3",0.184335
12,"binder:24460_2",0.071374
13,"mqt_v_js",264.447738
13,"RenderThread",187.797617
13,"oelseisfree.app",136.268704
13,"HeapTaskDaemon",76.585543
13,".0.2.2:8093/...",28.329670
13,"Jit thread pool",15.406918
13,"Measurement Wor",12.622625
13,"ReferenceQueueD",9.673833
13,"Firebase Backgr",8.578416
13,"HybridData Dest",8.480458
13,"mqt_v_native",6.738711
13,"DefaultDispatch",3.019667
13,"queued-work-loo",1.906835
13,"OkHttp TaskRunn",1.029332
13,"binder:24460_1",0.954249
13,"CookieMonsterCl",0.721543
13,"hwuiTask0",0.669751
13,"binder:24460_2",0.656166
13,"ScionFrontendAp",0.619960
13,"GPU completion",0.501043
13,"hwuiTask1",0.369500
13,"FinalizerDaemon",0.282875
13,"Firebase Blocki",0.198625
13,"binder:24460_3",0.095418
13,"HWC release",0.078542
13,"Expo JNI deallo",0.060833
13,"binder:24460_5",0.043876
14,"RenderThread",438.435130
14,"mqt_v_js",345.699914
14,"oelseisfree.app",303.557759
14,".0.2.2:8093/...",15.381709
14,"glide-disk-cach",10.112709
14,"Measurement Wor",8.554876
14,"Jit thread pool",8.447373
14,"binder:24460_2",5.348869
14,"mqt_v_native",4.805127
14,"ncFunctionQueue",2.210500
14,"Firebase Backgr",1.748585
14,"queued-work-loo",1.503208
14,"DefaultDispatch",1.323333
14,"hwuiTask0",1.039124
14,"GPU completion",0.906751
14,"hwuiTask1",0.780417
14,"binder:24460_3",0.741754
14,"OkHttp TaskRunn",0.685043
14,"CookieMonsterCl",0.661749
14,"binder:24460_1",0.558960
14,"HWC release",0.545375
14,"ScionFrontendAp",0.450334
14,"FinalizerWatchd",0.313125
14,"Firebase Blocki",0.144916
15,"mqt_v_js",307.220341
15,"RenderThread",198.766415
15,"oelseisfree.app",146.420287
15,".0.2.2:8093/...",36.273958
15,"Measurement Wor",24.309208
15,"Firebase Backgr",11.542875
15,"Jit thread pool",9.570751
15,"mqt_v_native",9.451538
15,"DefaultDispatch",3.726250
15,"Firebase Blocki",3.056792
15,"binder:24460_1",3.012501
15,"queued-work-loo",1.766042
15,"CookieMonsterCl",1.442749
15,"OkHttp TaskRunn",1.148583
15,"hwuiTask1",1.004458
15,"binder:24460_2",0.574833
15,"ScionFrontendAp",0.564083
15,"GPU completion",0.335001
15,"hwuiTask0",0.259708
15,"binder:24460_3",0.093459
15,"binder:24460_5",0.080208
16,"RenderThread",420.762415
16,"mqt_v_js",384.489002
16,"oelseisfree.app",329.660834
16,"HeapTaskDaemon",95.135335
16,".0.2.2:8093/...",29.569875
16,"glide-disk-cach",27.666623
16,"ReferenceQueueD",26.029874
16,"Jit thread pool",25.893328
16,"Measurement Wor",24.547880
16,"HybridData Dest",19.600873
16,"mqt_v_native",12.643417
16,"queued-work-loo",12.089417
16,"Firebase Backgr",4.419668
16,"binder:24460_2",4.031454
16,"RSMessageThread",3.146668
16,"DefaultDispatch",2.715750
16,"ncFunctionQueue",2.605126
16,"binder:24460_1",2.366499
16,"hwuiTask0",2.025958
16,"OkHttp TaskRunn",1.128835
16,"FinalizerDaemon",1.064833
16,"GPU completion",0.992463
16,"hwuiTask1",0.990624
16,"ScionFrontendAp",0.863833
16,"CookieMonsterCl",0.795541
16,"Firebase Blocki",0.659166
16,"binder:24460_5",0.553166
16,"binder:24460_3",0.364996
16,"HWC release",0.261750
16,"FinalizerWatchd",0.113625
16,"Expo JNI deallo",0.094834
16,"binder:24460_4",0.002125
17,"mqt_v_js",253.751699
17,"RenderThread",131.708580
17,"oelseisfree.app",129.945037
17,".0.2.2:8093/...",31.221087
17,"Measurement Wor",11.044501
17,"mqt_v_native",10.208003
17,"binder:24460_1",8.223458
17,"Jit thread pool",4.804333
17,"Firebase Backgr",3.978207
17,"DefaultDispatch",1.812667
17,"CookieMonsterCl",1.644667
17,"queued-work-loo",1.515249
17,"HeapTaskDaemon",1.329208
17,"OkHttp TaskRunn",1.271249
17,"ScionFrontendAp",0.875958
17,"GPU completion",0.496373
17,"hwuiTask0",0.472376
17,"binder:24460_2",0.412125
17,"hwuiTask1",0.314542
17,"Firebase Blocki",0.162083
17,"HWC release",0.137542
17,"binder:24460_3",0.122751
17,"binder:24460_5",0.001334
18,"RenderThread",358.905046
18,"mqt_v_js",302.098913
18,"oelseisfree.app",270.422844
18,"HeapTaskDaemon",115.186332
18,"HybridData Dest",27.647001
18,"Jit thread pool",21.009336
18,"ReferenceQueueD",20.536166
18,".0.2.2:8093/...",19.025626
18,"Measurement Wor",14.284374
18,"glide-disk-cach",13.518206
18,"mqt_v_native",5.722418
18,"Firebase Backgr",4.132749
18,"DefaultDispatch",3.097708
18,"OkHttp TaskRunn",2.538169
18,"binder:24460_1",2.326498
18,"ncFunctionQueue",2.294582
18,"queued-work-loo",1.146666
18,"GPU completion",0.859916
18,"hwuiTask1",0.718959
