"name","ts","dur","tid","thread_name","is_main_thread"
"DrawFrames 12172175",53021818161987,17781125,16871,"RenderThread",0
"postAndWait",53021830763737,6087625,16838,"oelseisfree.app",1
"DrawFrames 12172183",53021835950987,26462458,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53022310291320,2811334,16838,"oelseisfree.app",1
"postAndWait",53022314376112,590167,16838,"oelseisfree.app",1
"DrawFrames 12172389",53022314501237,3198083,16871,"RenderThread",0
"[ExpoImage] onResourceReady",53022315081612,297792,16838,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",53022316447862,138000,16838,"oelseisfree.app",1
"postAndWait",53022326395820,7968875,16838,"oelseisfree.app",1
"DrawFrames 12172397",53022332481904,6155458,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53022365104154,2685750,16838,"oelseisfree.app",1
"postAndWait",53022368498820,806125,16838,"oelseisfree.app",1
"DrawFrames 12172412",53022368624487,2181708,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53022389794362,1014917,16838,"oelseisfree.app",1
"postAndWait",53022391426570,1044792,16838,"oelseisfree.app",1
"DrawFrames 12172420",53022391664070,7095209,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53022393371904,303250,16838,"oelseisfree.app",1
"postAndWait",53022393832404,5772666,16838,"oelseisfree.app",1
"DrawFrames 12172427",53022398774945,131938000,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53022431207695,2357875,16838,"oelseisfree.app",1
"postAndWait",53022434375487,99812500,16838,"oelseisfree.app",1
"DrawFrames 12172435",53022530876862,73053500,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53022537043529,427416,16838,"oelseisfree.app",1
"postAndWait",53022537871904,68539500,16838,"oelseisfree.app",1
"DrawFrames 12172442",53022604310946,74404166,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53022625700321,11095666,16838,"oelseisfree.app",1
"postAndWait",53022637436404,43530167,16838,"oelseisfree.app",1
"DrawFrames 12172450",53022678746696,66393583,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53022696663071,8640583,16838,"oelseisfree.app",1
"postAndWait",53022705776529,45439583,16838,"oelseisfree.app",1
"DrawFrames 12172458",53022745167071,73583083,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53022823109737,4117125,16838,"oelseisfree.app",1
"postAndWait",53022828485237,6570875,16838,"oelseisfree.app",1
"DrawFrames 12172466",53022832189654,50798500,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53022855926362,1421334,16838,"oelseisfree.app",1
"postAndWait",53022858108404,25834833,16838,"oelseisfree.app",1
"DrawFrames 12172474",53022883009904,42731625,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53023074804987,12537959,16838,"oelseisfree.app",1
"postAndWait",53023117950946,7863500,16838,"oelseisfree.app",1
"DrawFrames 12172568",53023120761571,44767666,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53023138799862,16241292,16838,"oelseisfree.app",1
"postAndWait",53023162625737,33050834,16838,"oelseisfree.app",1
"DrawFrames 12172575",53023190193862,29111750,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53023458255363,6999833,16838,"oelseisfree.app",1
"postAndWait",53023466103446,5067667,16838,"oelseisfree.app",1
