"cycle","label","tid","thread","name","ts","dur","depth","offset_ms","overlap_ms"
1,"opening",16841,"Jit thread pool","ScopedCodeCacheWrite",53017347946318,190125,2,195.946000,0.190000
1,"opening",16841,"Jit thread pool","TrimMaps",53017348149860,24208,1,196.150000,0.024000
1,"opening",16841,"Jit thread pool","virtual void art::MemMapArenaPool::TrimMaps()",53017348150610,21916,2,196.151000,0.022000
1,"opening",16838,"oelseisfree.app","Choreographer#doFrame 12170645",53017348250610,7847833,0,196.251000,7.848000
1,"opening",16838,"oelseisfree.app","Choreographer#doFrame - resynced to 12170650 in 26.0ms",53017348284026,7813917,1,196.284000,7.814000
1,"opening",16838,"oelseisfree.app","animation",53017348287235,287125,2,196.287000,0.287000
1,"opening",16838,"oelseisfree.app","Choreographer#scheduleVsyncLocked",53017348324610,99500,3,196.325000,0.100000
1,"opening",16838,"oelseisfree.app","BatchEventDispatchedListeners",53017348566276,5625,3,196.566000,0.006000
1,"opening",16838,"oelseisfree.app","traversal",53017348576193,7517625,2,196.576000,7.518000
1,"opening",16838,"oelseisfree.app","draw-VRI[MainActivity]",53017348927485,7158916,3,196.928000,7.159000
1,"opening",16838,"oelseisfree.app","Record View#draw()",53017348938860,607541,4,196.939000,0.608000
1,"opening",16838,"oelseisfree.app","postAndWait",53017349549860,6532625,4,197.550000,6.533000
1,"opening",16871,"RenderThread","DrawFrames 12170645",53017351261401,12956584,0,199.261000,12.957000
1,"opening",16871,"RenderThread","query",53017351264818,4458,1,199.265000,0.004000
1,"opening",16871,"RenderThread","query",53017351267610,1166,2,199.268000,0.001000
1,"opening",16871,"RenderThread","query",53017351270360,1458,1,199.270000,0.001000
1,"opening",16871,"RenderThread","query",53017351270860,500,2,199.271000,0.001000
1,"opening",16871,"RenderThread","syncFrameState",53017351273235,1625000,1,199.273000,1.625000
1,"opening",16871,"RenderThread","prepareTree",53017351366110,1530250,2,199.366000,1.530000
1,"opening",16871,"RenderThread","eglBeginFrame",53017352911776,3375,1,200.912000,0.003000
1,"opening",16871,"RenderThread","Drawing  0.00  0.00 720.00 1600.00",53017352921818,11294750,1,200.922000,11.295000
1,"opening",16871,"RenderThread","flush commands",53017353195193,4289875,2,201.195000,4.290000
1,"opening",16871,"RenderThread","auto skgpu::ganesh::OpsTask::onPrepare(GrOpFlushState *)::(anonymous class)::operator()() const",53017353210401,54542,3,201.210000,0.055000
1,"opening",16871,"RenderThread","Clear",53017353212193,542,4,201.212000,0.001000
1,"opening",16871,"RenderThread","AtlasTextOp",53017353213443,17917,4,201.214000,0.018000
1,"opening",16871,"RenderThread","TextureOp",53017353232568,1917,4,201.233000,0.002000
1,"opening",16871,"RenderThread","TextureOp",53017353234985,583,4,201.235000,0.001000
1,"opening",16871,"RenderThread","TextureOp",53017353236026,542,4,201.236000,0.001000
1,"opening",16871,"RenderThread","TextureOp",53017353237068,542,4,201.237000,0.001000
1,"opening",16871,"RenderThread","TextureOp",53017353238068,500,4,201.238000,0.001000
1,"opening",16871,"RenderThread","TextureOp",53017353239026,542,4,201.239000,0.001000
1,"opening",16871,"RenderThread","CircularRRectOp",53017353240401,5334,4,201.240000,0.005000
1,"opening",16871,"RenderThread","CircularRRectOp",53017353246735,1000,4,201.247000,0.001000
1,"opening",16871,"RenderThread","CircularRRectOp",53017353248276,2084,4,201.248000,0.002000
1,"opening",16871,"RenderThread","AtlasTextOp",53017353251610,4625,4,201.252000,0.005000
1,"opening",16871,"RenderThread","FillRectOp",53017353258943,2917,4,201.259000,0.003000
1,"opening",16871,"RenderThread","TextureOp",53017353262443,833,4,201.263000,0.001000
1,"opening",16871,"RenderThread","TextureOp",53017353263776,500,4,201.264000,0.001000
1,"opening",16871,"RenderThread","auto skgpu::ganesh::OpsTask::onExecute(GrOpFlushState *)::(anonymous class)::operator()() const",53017356495776,969334,3,204.496000,0.969000
1,"opening",16871,"RenderThread","Clear",53017356504193,8000,4,204.504000,0.008000
1,"opening",16871,"RenderThread","AtlasTextOp",53017356514901,23334,4,204.515000,0.023000
1,"opening",16871,"RenderThread","TextureOp",53017356539526,776625,4,204.540000,0.777000
1,"opening",16871,"RenderThread","TextureOp",53017357317651,14000,4,205.318000,0.014000
1,"opening",16871,"RenderThread","TextureOp",53017357332693,3625,4,205.333000,0.004000
1,"opening",16871,"RenderThread","TextureOp",53017357336943,2667,4,205.337000,0.003000
1,"opening",16871,"RenderThread","TextureOp",53017357340360,1416,4,205.340000,0.001000
1,"opening",16871,"RenderThread","TextureOp",53017357342276,24125,4,205.342000,0.024000
1,"opening",16871,"RenderThread","CircularRRectOp",53017357367943,9750,4,205.368000,0.010000
1,"opening",16871,"RenderThread","CircularRRectOp",53017357378318,12625,4,205.378000,0.013000
1,"opening",16871,"RenderThread","CircularRRectOp",53017357391860,7083,4,205.392000,0.007000
1,"opening",16871,"RenderThread","AtlasTextOp",53017357400026,9375,4,205.400000,0.009000
1,"opening",16871,"RenderThread","FillRectOp",53017357410568,14375,4,205.411000,0.014000
1,"opening",16871,"RenderThread","TextureOp",53017357425985,20791,4,205.426000,0.021000
1,"opening",16871,"RenderThread","TextureOp",53017357448068,16042,4,205.448000,0.016000
1,"opening",16871,"RenderThread","frameTimelineInfo(frameNumber=100, vsyncId=12170645, inputEventId=0x0)",53017357494193,3875,2,205.494000,0.004000
1,"opening",16871,"RenderThread","dispatchSetFrameTimelineInfo",53017357494901,2667,3,205.495000,0.003000
1,"opening",16871,"RenderThread","setFrameTimelineInfo(VRI[MainActivity]#0) frameNumber: 100 vsyncId: 12170645",53017357496026,1125,4,205.496000,0.001000
1,"opening",16871,"RenderThread","eglSwapBuffersWithDamageKHR",53017357500110,6674791,2,205.500000,6.675000
1,"opening",16871,"RenderThread","setSurfaceDamage",53017357502526,834,3,205.503000,0.001000
1,"opening",16838,"oelseisfree.app","FabricEventEmitter.receiveEvent('topLoad')",53017359805318,34250,0,207.805000,0.034000
1,"opening",16838,"oelseisfree.app","Choreographer#onVsync 12170698",53017360275818,13125,0,208.276000,0.013000
1,"opening",16838,"oelseisfree.app","FabricEventEmitter.receiveEvent('topLoad')",53017360725026,8542,0,208.725000,0.009000
1,"opening",16838,"oelseisfree.app","Choreographer#doFrame 12170698",53017360773151,145667,0,208.773000,0.146000
1,"opening",16838,"oelseisfree.app","animation",53017360780651,136500,1,208.781000,0.137000
1,"opening",16838,"oelseisfree.app","Choreographer#scheduleVsyncLocked",53017360813818,80458,2,208.814000,0.080000
1,"opening",16838,"oelseisfree.app","BatchEventDispatchedListeners",53017360906235,8833,2,208.906000,0.009000
1,"opening",16846,"binder:16838_1","releaseBufferCallback - VRI[MainActivity]#0(f:0,a:2)",53017360956235,42833,0,208.956000,0.043000
1,"opening",16846,"binder:16838_1","releaseBufferCallbackLocked",53017360957110,41500,1,208.957000,0.042000
1,"opening",16846,"binder:16838_1","releaseBuffer - VRI[MainActivity]#0(f:0,a:1)frame=98",53017360964401,31875,2,208.964000,0.032000
1,"opening",16846,"binder:16838_1","wait",53017360966901,2459,3,208.967000,0.002000
1,"opening",16846,"binder:16838_1","wait",53017360969901,1042,3,208.970000,0.001000
1,"opening",16846,"binder:16838_1","releaseBuffer",53017360972026,13750,3,208.972000,0.014000
1,"opening",16846,"binder:16838_1","VRI[MainActivity]#0(BLAST Consumer)0: 2",53017360973193,500,4,208.973000,0.001000
1,"opening",16846,"binder:16838_1","transactionCallback - VRI[MainActivity]#0(f:0,a:1)",53017361000610,5375,0,209.001000,0.005000
1,"opening",16846,"binder:16838_1","setTransformHint",53017361002026,584,1,209.002000,0.001000
1,"opening",16871,"RenderThread","queueBuffer",53017361077276,3028584,3,209.077000,3.029000
1,"opening",16871,"RenderThread","applyGrallocMetadataLocked",53017361083235,16041,4,209.083000,0.016000
1,"opening",16871,"RenderThread","queueBuffer",53017361103235,208500,4,209.103000,0.208000
1,"opening",16871,"RenderThread","VRI[MainActivity]#0(BLAST Consumer)0: 0",53017361105776,542,5,209.106000,0.001000
1,"opening",16871,"RenderThread","addAndGetFrameTimestamps",53017361113401,89084,5,209.113000,0.089000
1,"opening",16871,"RenderThread","onFrameAvailable - VRI[MainActivity]#0(f:0,a:1)",53017361206151,104667,5,209.206000,0.105000
1,"opening",16871,"RenderThread","acquireBuffer",53017361209193,5667,6,209.209000,0.006000
1,"opening",16871,"RenderThread","VRI[MainActivity]#0(BLAST Consumer)0: 0",53017361210860,458,7,209.211000,0.000000
1,"opening",16871,"RenderThread","acquireNextBufferLocked - VRI[MainActivity]#0(f:0,a:1)frame=100",53017361216901,92750,6,209.217000,0.093000
1,"opening",16871,"RenderThread","Transaction::setFrameTimelineInfo frameNumber: 100 vsyncId: 12170645",53017361234026,0,7,209.234000,0.000000
1,"opening",16871,"RenderThread","Trace GPU completion fence 33",53017361323860,2762041,4,209.324000,2.762000
1,"opening",16982,"GPU completion","waiting for GPU completion 33",53017364090568,17677083,0,212.091000,17.677000
1,"opening",16982,"GPU completion","waitForever",53017364091360,17673666,1,212.091000,17.674000
1,"opening",16871,"RenderThread","dequeueBuffer - VRI[MainActivity]#0(BLAST Consumer)0",53017364112235,32291,3,212.112000,0.032000
1,"opening",16871,"RenderThread","dequeueBuffer",53017364115610,11208,4,212.116000,0.011000
1,"opening",16871,"RenderThread","VRI[MainActivity]#0(BLAST Consumer)0: 2",53017364117568,500,5,212.118000,0.001000
1,"opening",16871,"RenderThread","addAndGetFrameTimestamps",53017364122443,3625,5,212.123000,0.004000
1,"opening",16871,"RenderThread","Trace HWC release fence 33",53017364132110,10625,4,212.132000,0.011000
1,"opening",16871,"RenderThread","reportMetricsWithPresentTime",53017364179401,27459,2,212.179000,0.027000
1,"opening",16871,"RenderThread","getFrameTimestamps",53017364180276,584,3,212.180000,0.001000
1,"opening",16871,"RenderThread","dumpingMemoryStatistics",53017364209485,6666,2,212.210000,0.007000
1,"opening",16983,"HWC release","waiting for HWC release 33",53017364233985,17564750,0,212.234000,17.565000
1,"opening",16983,"HWC release","waitForever",53017364234943,17562917,1,212.235000,17.563000
1,"opening",16841,"Jit thread pool","JIT compiling boolean com.facebook.react.uimanager.BlendModeHelper.needsIsolatedLayer(android.view.ViewGroup) (kind=Baseline) from /data/app/~~klXCJdNpBSfzhFTgn3sAag==/com.whoelseisfree.app-kZvEDK33bKX4u3y-NATdTQ==/base.apk!classes3.dex",53017367804568,4954958,0,215.805000,4.955000
1,"opening",16841,"Jit thread pool","Compiling baseline",53017367810943,4906667,1,215.811000,4.907000
1,"opening",16841,"Jit thread pool","ScopedCodeCacheWrite",53017372664776,2334,2,220.665000,0.002000
1,"opening",16841,"Jit thread pool","ScopedCodeCacheWrite",53017372692943,5083,2,220.693000,0.005000
1,"opening",16841,"Jit thread pool","TrimMaps",53017372719693,38000,1,220.720000,0.038000
1,"opening",16841,"Jit thread pool","virtual void art::MemMapArenaPool::TrimMaps()",53017372720776,35292,2,220.721000,0.035000
1,"opening",16838,"oelseisfree.app","Choreographer#onVsync 12170713",53017374786235,65458,0,222.786000,0.065000
1,"opening",16838,"oelseisfree.app","Choreographer#doFrame 12170713",53017374867568,801583,0,222.868000,0.802000
1,"opening",16838,"oelseisfree.app","animation",53017374872360,792875,1,222.872000,0.793000
1,"opening",16838,"oelseisfree.app","Choreographer#scheduleVsyncLocked",53017374920235,573041,2,222.920000,0.573000
1,"opening",16838,"oelseisfree.app","BatchEventDispatchedListeners",53017375648401,13209,2,223.648000,0.013000
1,"opening",16838,"oelseisfree.app","Choreographer#onVsync 12170728",53017392866735,19958,0,240.867000,0.020000
1,"opening",16838,"oelseisfree.app","Choreographer#doFrame 12170728",53017392899693,10649458,0,240.900000,10.649000
1,"opening",16838,"oelseisfree.app","animation",53017392905526,3076584,1,240.906000,3.077000
1,"opening",16838,"oelseisfree.app","MountItemDispatcher::mountViews mountItems to execute",53017393201193,2721208,2,241.201000,2.721000
1,"opening",16838,"oelseisfree.app","IntBufferBatchMountItem::mountViews",53017393241360,2678125,3,241.241000,2.678000
1,"opening",16838,"oelseisfree.app","IntBufferBatchMountItem::mountInstructions::UPDATE_PROPS numInstructions=44",53017393264318,2649667,4,241.264000,2.650000
