"cycle","label","tid","name","state","overlap_ms"
0,"takeoff-ready→animation-requested",16855,"ScionFrontendAp","S",398.476000
0,"takeoff-ready→animation-requested",16859,"DefaultDispatch","S",398.476000
0,"takeoff-ready→animation-requested",16862,"queued-work-loo","S",398.476000
0,"takeoff-ready→animation-requested",16864,"Firebase Backgr","S",398.476000
0,"takeoff-ready→animation-requested",16866,"Firebase Backgr","S",398.476000
0,"takeoff-ready→animation-requested",16870,"Firebase Blocki","S",398.476000
0,"takeoff-ready→animation-requested",16875,"hwuiTask0","S",398.476000
0,"takeoff-ready→animation-requested",16881,"mqt_v_native","S",398.476000
0,"takeoff-ready→animation-requested",16889,"ncFunctionQueue","S",398.476000
0,"takeoff-ready→animation-requested",16899,"DefaultDispatch","S",398.476000
0,"takeoff-ready→animation-requested",16902,".0.2.2:8093/...","S",398.476000
0,"takeoff-ready→animation-requested",16915,"CookieMonsterCl","S",398.476000
0,"takeoff-ready→animation-requested",16924,"OkHttp TaskRunn","S",398.476000
0,"takeoff-ready→animation-requested",16927,"OkHttp TaskRunn","S",398.476000
0,"takeoff-ready→animation-requested",16937,".0.2.2:8093/...","S",398.476000
0,"takeoff-ready→animation-requested",16983,"HWC release","S",398.476000
0,"takeoff-ready→animation-requested",16982,"GPU completion","S",398.277000
0,"takeoff-ready→animation-requested",16922,"binder:16838_4","S",397.126000
0,"takeoff-ready→animation-requested",16882,"binder:16838_4","S",384.126000
0,"takeoff-ready→animation-requested",16861,"Measurement Wor","S",349.617000
0,"takeoff-ready→animation-requested",16850,"Profile Saver","S",344.369000
0,"takeoff-ready→animation-requested",16841,"Jit thread pool","S",299.478000
0,"takeoff-ready→animation-requested",16871,"RenderThread","S",297.597000
0,"takeoff-ready→animation-requested",16880,"mqt_v_js","Running",207.032000
0,"takeoff-ready→animation-requested",16838,"oelseisfree.app","S",185.435000
0,"takeoff-ready→animation-requested",16942,"glide-disk-cach","R+",178.819000
0,"takeoff-ready→animation-requested",16880,"mqt_v_js","R",132.508000
